date,name,category,value
1970-08-01,socialism,some,1
1970-08-01,nationalism,some,1
1970-08-01,"United Nations",some,1
1970-08-01,peacekeeping,some,1
1970-08-01,culture,some,1
1970-08-01,"commune movement",some,1
1970-08-01,"Jones, Jack",some,1
1970-08-01,"steel industry",some,1
1970-08-01,"Verdi, Guiseppe",some,1
1970-08-01,music,some,1
1970-08-01,"Eye on Wales (series)",some,4
1970-08-01,"Welsh Office",some,1
1970-08-01,"social accounting",some,1
1970-08-01,rugby,some,1
1970-08-01,poem,some,8
1970-10-01,socialism,some,1
1970-10-01,nationalism,some,1
1970-10-01,"United Nations",some,1
1970-10-01,peacekeeping,some,1
1970-10-01,culture,some,1
1970-10-01,"commune movement",some,1
1970-10-01,"Jones, Jack",some,1
1970-10-01,"steel industry",some,1
1970-10-01,"Verdi, Guiseppe",some,1
1970-10-01,music,some,1
1970-10-01,"Eye on Wales (series)",some,10
1970-10-01,"Welsh Office",some,1
1970-10-01,"social accounting",some,1
1970-10-01,rugby,some,1
1970-10-01,poem,some,12
1970-10-01,broadcasting,some,8
1970-10-01,"future of broadcasting, the (symposium)",some,7
1970-10-01,regionalism,some,1
1970-10-01,translation,some,1
1970-10-01,"Welsh language",some,2
1970-10-01,"Wagner, Richard",some,1
1970-10-01,"small press publications",some,1
1970-10-01,"Roberts, Kate",some,1
1970-10-01,eisteddfodau,some,1
1970-10-01,"Griffiths, Ivander",some,1
1970-10-01,"radio, commercial",some,1
1970-10-01,press,some,1
1970-10-01,"Welsh London",some,1
1970-12-01,socialism,some,1
1970-12-01,nationalism,some,1
1970-12-01,"United Nations",some,1
1970-12-01,peacekeeping,some,1
1970-12-01,culture,some,1
1970-12-01,"commune movement",some,1
1970-12-01,"Jones, Jack",some,1
1970-12-01,"steel industry",some,1
1970-12-01,"Verdi, Guiseppe",some,1
1970-12-01,music,some,1
1970-12-01,"Eye on Wales (series)",some,14
1970-12-01,"Welsh Office",some,1
1970-12-01,"social accounting",some,1
1970-12-01,rugby,some,1
1970-12-01,poem,some,15
1970-12-01,broadcasting,some,9
1970-12-01,"future of broadcasting, the (symposium)",some,7
1970-12-01,regionalism,some,1
1970-12-01,translation,some,1
1970-12-01,"Welsh language",some,2
1970-12-01,"Wagner, Richard",some,1
1970-12-01,"small press publications",some,1
1970-12-01,"Roberts, Kate",some,1
1970-12-01,eisteddfodau,some,1
1970-12-01,"Griffiths, Ivander",some,1
1970-12-01,"radio, commercial",some,1
1970-12-01,press,some,1
1970-12-01,"Welsh London",some,1
1970-12-01,economy,some,1
1970-12-01,coal,some,2
1970-12-01,industry,some,3
1970-12-01,collieries,some,1
1970-12-01,"Adams, Norman",some,1
1970-12-01,"Forestry Commission",some,2
1970-12-01,forestry,some,2
1970-12-01,crime-writing,some,1
1970-12-01,"detective stories",some,1
1970-12-01,thrillers,some,1
1970-12-01,"Regional Employment Premium",some,1
1970-12-01,"Cymdeithas yr Iaith",some,1
1970-12-01,"road signs",some,1
1970-12-01,"Welsh Language Society",some,1
1970-12-01,consortium,some,1
1970-12-01,"local authorities",some,1
1970-12-01,building,some,1
1971-02-01,socialism,some,1
1971-02-01,nationalism,some,1
1971-02-01,"United Nations",some,1
1971-02-01,peacekeeping,some,1
1971-02-01,culture,some,2
1971-02-01,"commune movement",some,1
1971-02-01,"Jones, Jack",some,1
1971-02-01,"steel industry",some,1
1971-02-01,"Verdi, Guiseppe",some,1
1971-02-01,music,some,1
1971-02-01,"Eye on Wales (series)",some,15
1971-02-01,"Welsh Office",some,1
1971-02-01,"social accounting",some,1
1971-02-01,rugby,some,1
1971-02-01,poem,some,20
1971-02-01,broadcasting,some,9
1971-02-01,"future of broadcasting, the (symposium)",some,7
1971-02-01,regionalism,some,1
1971-02-01,translation,some,2
1971-02-01,"Welsh language",some,3
1971-02-01,"Wagner, Richard",some,1
1971-02-01,"small press publications",some,1
1971-02-01,"Roberts, Kate",some,1
1971-02-01,eisteddfodau,some,1
1971-02-01,"Griffiths, Ivander",some,1
1971-02-01,"radio, commercial",some,1
1971-02-01,press,some,1
1971-02-01,"Welsh London",some,1
1971-02-01,economy,some,1
1971-02-01,coal,some,2
1971-02-01,industry,some,3
1971-02-01,collieries,some,1
1971-02-01,"Adams, Norman",some,1
1971-02-01,"Forestry Commission",some,2
1971-02-01,forestry,some,2
1971-02-01,crime-writing,some,1
1971-02-01,"detective stories",some,1
1971-02-01,thrillers,some,1
1971-02-01,"Regional Employment Premium",some,1
1971-02-01,"Cymdeithas yr Iaith",some,1
1971-02-01,"road signs",some,1
1971-02-01,"Welsh Language Society",some,1
1971-02-01,consortium,some,1
1971-02-01,"local authorities",some,1
1971-02-01,building,some,1
1971-02-01,bilingualism,some,4
1971-02-01,language,some,4
1971-02-01,protest,some,2
1971-02-01,Irish,some,1
1971-02-01,Hebrew,some,1
1971-02-01,literature,some,1
1971-02-01,"University of Wales",some,1
1971-08-01,socialism,some,1
1971-08-01,nationalism,some,3
1971-08-01,"United Nations",some,1
1971-08-01,peacekeeping,some,1
1971-08-01,culture,some,2
1971-08-01,"commune movement",some,1
1971-08-01,"Jones, Jack",some,1
1971-08-01,"steel industry",some,1
1971-08-01,"Verdi, Guiseppe",some,1
1971-08-01,music,some,1
1971-08-01,"Eye on Wales (series)",some,15
1971-08-01,"Welsh Office",some,1
1971-08-01,"social accounting",some,1
1971-08-01,rugby,some,1
1971-08-01,poem,some,27
1971-08-01,broadcasting,some,9
1971-08-01,"future of broadcasting, the (symposium)",some,7
1971-08-01,regionalism,some,1
